case_number,date,year,month,day_of_week,hour,community_area_name,victimization_primary,incident_primary,gunshot_injury_i,age,sex,race,is_homicide_victim,is_nonfatal_shooting_victim,is_gun_violence_victim
HL369706,2005-05-21 10:30:00,2005,5,7,10,ALBANY PARK,HOMICIDE,HOMICIDE,NO,20-29,M,WWH,1,0,1
HL466831,2005-07-06 18:05:00,2005,7,4,18,ALBANY PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL467259,2005-07-06 21:10:00,2005,7,4,21,ALBANY PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL671923,2005-10-14 01:55:00,2005,10,6,1,ALBANY PARK,HOMICIDE,HOMICIDE,YES,30-39,M,WWH,1,0,1
HL242938,2005-03-18 23:35:00,2005,3,6,23,ARCHER HEIGHTS,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL433283,2005-06-20 21:45:00,2005,6,2,21,ARCHER HEIGHTS,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL641342,2005-09-28 17:39:00,2005,9,4,17,ARCHER HEIGHTS,HOMICIDE,HOMICIDE,YES,0-19,M,WHI,1,0,1
HL427901,2005-06-18 01:10:00,2005,6,7,1,ARMOUR SQUARE,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL555606,2005-08-17 21:53:00,2005,8,4,21,ASHBURN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HL557226,2005-08-18 18:40:00,2005,8,5,18,ASHBURN,HOMICIDE,HOMICIDE,YES,20-29,M,WHI,1,0,1
HL294194,2005-04-14 09:58:00,2005,4,5,9,AUBURN GRESHAM,HOMICIDE,HOMICIDE,NO,40-49,F,BLK,1,0,1
HL369348,2005-05-21 03:30:00,2005,5,7,3,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL429514,2005-06-18 21:23:00,2005,6,7,21,AUBURN GRESHAM,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HL437473,2005-06-22 17:55:00,2005,6,4,17,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL467655,2005-07-07 03:39:00,2005,7,5,3,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL524860,2005-08-03 01:46:00,2005,8,4,1,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL590360,2005-09-03 23:59:00,2005,9,7,23,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL606337,2005-09-11 23:07:00,2005,9,1,23,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL618390,2005-09-17 16:53:00,2005,9,7,16,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL627779,2005-09-22 06:28:00,2005,9,5,6,AUBURN GRESHAM,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HL157968,2005-02-02 08:00:00,2005,2,4,8,AUSTIN,HOMICIDE,HOMICIDE,NO,60-69,M,BLK,1,0,1
HL194667,2005-02-21 21:54:00,2005,2,2,21,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL216209,2005-03-05 02:35:00,2005,3,7,2,AUSTIN,HOMICIDE,HOMICIDE,NO,30-39,F,BLK,1,0,1
HL232949,2005-03-14 01:23:00,2005,3,2,1,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,F,BLK,1,0,1
HL236216,2005-03-15 15:30:00,2005,3,3,15,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,WWH,1,0,1
HL238378,2005-03-16 18:20:00,2005,3,4,18,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL242006,2005-03-18 15:07:00,2005,3,6,15,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL249429,2005-03-22 16:47:00,2005,3,3,16,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL268144,2005-04-01 14:05:00,2005,4,6,14,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL289126,2005-04-11 19:39:00,2005,4,2,19,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL296055,2005-04-15 05:00:00,2005,4,6,5,AUSTIN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HL336157,2005-05-05 02:37:00,2005,5,5,2,AUSTIN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HL355369,2005-05-14 02:25:00,2005,5,7,2,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL360798,2005-05-17 00:25:00,2005,5,3,0,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL369158,2005-05-21 00:50:00,2005,5,7,0,AUSTIN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HL412899,2005-06-11 03:34:00,2005,6,7,3,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,F,BLK,1,0,1
HL421238,2005-06-14 20:23:00,2005,6,3,20,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL423726,2005-06-16 01:41:00,2005,6,5,1,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL437234,2005-06-22 02:00:00,2005,6,4,2,AUSTIN,HOMICIDE,HOMICIDE,NO,80+,M,BLK,1,0,1
HL449677,2005-06-28 15:15:00,2005,6,3,15,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL459802,2005-07-03 10:15:00,2005,7,1,10,AUSTIN,HOMICIDE,HOMICIDE,NO,50-59,F,BLK,1,0,1
HL467408,2005-07-07 00:00:00,2005,7,5,0,AUSTIN,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HL539309,2005-08-09 23:15:00,2005,8,3,23,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL541246,2005-08-10 20:54:00,2005,8,4,20,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL546673,2005-08-13 00:00:00,2005,8,7,0,AUSTIN,HOMICIDE,HOMICIDE,NO,0-19,F,BLK,1,0,1
HL582086,2005-08-30 22:34:00,2005,8,3,22,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL591154,2005-09-04 12:34:00,2005,9,1,12,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL603073,2005-09-10 10:46:00,2005,9,7,10,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL640029,2005-09-28 02:41:00,2005,9,4,2,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL646747,2005-10-01 12:43:00,2005,10,7,12,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL673888,2005-10-15 00:35:00,2005,10,7,0,AUSTIN,HOMICIDE,HOMICIDE,NO,20-29,F,BLK,1,0,1
HL716166,2005-11-04 22:32:00,2005,11,6,22,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL749206,2005-11-22 06:26:00,2005,11,3,6,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,WWH,1,0,1
HL765006,2005-12-01 08:28:00,2005,12,5,8,AUSTIN,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HL785364,2005-12-12 16:00:00,2005,12,2,16,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL786202,2005-12-13 00:07:00,2005,12,3,0,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL802967,2005-12-21 23:53:00,2005,12,4,23,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL300398,2005-04-17 08:40:00,2005,4,1,8,AVALON PARK,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HL337558,2005-05-05 18:12:00,2005,5,5,18,AVALON PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL205955,2005-02-27 23:10:00,2005,2,1,23,AVONDALE,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL471587,2005-07-08 23:54:00,2005,7,6,23,AVONDALE,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL533506,2005-08-07 04:55:00,2005,8,1,4,AVONDALE,HOMICIDE,HOMICIDE,NO,0-19,M,WWH,1,0,1
HL126868,2005-01-15 20:13:00,2005,1,7,20,BELMONT CRAGIN,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL132189,2005-01-18 22:35:00,2005,1,3,22,BELMONT CRAGIN,HOMICIDE,HOMICIDE,NO,20-29,F,WWH,1,0,1
HL212228,2005-03-03 06:00:00,2005,3,5,6,BELMONT CRAGIN,HOMICIDE,HOMICIDE,YES,40-49,F,WWH,1,0,1
HL235442,2005-03-15 10:42:00,2005,3,3,10,BELMONT CRAGIN,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL287184,2005-04-10 21:22:00,2005,4,1,21,BELMONT CRAGIN,HOMICIDE,HOMICIDE,NO,30-39,F,WWH,1,0,1
HL356544,2005-05-14 16:30:00,2005,5,7,16,BELMONT CRAGIN,HOMICIDE,HOMICIDE,NO,0-19,M,BLK,1,0,1
HL471597,2005-07-08 23:26:00,2005,7,6,23,BELMONT CRAGIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL539175,2005-08-09 21:50:00,2005,8,3,21,BELMONT CRAGIN,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL547533,2005-08-13 21:20:00,2005,8,7,21,BELMONT CRAGIN,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL552644,2005-08-16 18:43:00,2005,8,3,18,BELMONT CRAGIN,HOMICIDE,HOMICIDE,NO,20-29,F,WWH,1,0,1
HL749116,2005-11-21 22:00:00,2005,11,2,22,BELMONT CRAGIN,HOMICIDE,HOMICIDE,NO,20-29,M,WHI,1,0,1
HL355467,2005-05-14 02:40:00,2005,5,7,2,BRIGHTON PARK,HOMICIDE,HOMICIDE,NO,0-19,F,WWH,1,0,1
HL428081,2005-06-18 04:08:00,2005,6,7,4,BRIGHTON PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL527629,2005-08-04 12:12:00,2005,8,5,12,BRIGHTON PARK,HOMICIDE,HOMICIDE,YES,70-79,M,WWH,1,0,1
HL527629,2005-08-04 12:12:00,2005,8,5,12,BRIGHTON PARK,HOMICIDE,HOMICIDE,YES,30-39,F,WWH,1,0,1
HL816641,2005-12-30 02:08:00,2005,12,6,2,BRIGHTON PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL745300,2005-11-19 22:47:00,2005,11,7,22,BURNSIDE,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL136957,2005-01-21 17:53:00,2005,1,6,17,CHATHAM,HOMICIDE,HOMICIDE,NO,30-39,F,BLK,1,0,1
HL206147,2005-02-28 06:10:00,2005,2,2,6,CHATHAM,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL281526,2005-04-08 04:00:00,2005,4,6,4,CHATHAM,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL314660,2005-04-24 09:15:00,2005,4,1,9,CHATHAM,HOMICIDE,HOMICIDE,NO,30-39,F,BLK,1,0,1
HL343949,2005-05-08 23:00:00,2005,5,1,23,CHATHAM,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL416874,2005-06-13 02:15:00,2005,6,2,2,CHATHAM,HOMICIDE,HOMICIDE,NO,0-19,F,BLK,1,0,1
HL505794,2005-07-24 23:10:00,2005,7,1,23,CHATHAM,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL551951,2005-08-16 04:43:00,2005,8,3,4,CHATHAM,HOMICIDE,HOMICIDE,YES,20-29,F,BLK,1,0,1
HL618905,2005-09-17 21:30:00,2005,9,7,21,CHATHAM,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HL633973,2005-09-25 03:49:00,2005,9,1,3,CHATHAM,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL655946,2005-10-05 21:15:00,2005,10,4,21,CHATHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL703752,2005-10-29 23:45:00,2005,10,7,23,CHATHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL771347,2005-12-04 12:52:00,2005,12,1,12,CHATHAM,HOMICIDE,HOMICIDE,NO,40-49,M,BLK,1,0,1
HL257812,2005-03-27 06:02:00,2005,3,1,6,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL336784,2005-05-05 12:47:00,2005,5,5,12,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL412803,2005-06-11 01:56:00,2005,6,7,1,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL425753,2005-06-17 00:30:00,2005,6,6,0,CHICAGO LAWN,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HL448514,2005-06-28 00:20:00,2005,6,3,0,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL484812,2005-07-15 02:45:00,2005,7,6,2,CHICAGO LAWN,HOMICIDE,HOMICIDE,NO,20-29,M,WWH,1,0,1
HL516150,2005-07-29 21:22:00,2005,7,6,21,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL534365,2005-08-08 03:00:00,2005,8,2,3,CHICAGO LAWN,HOMICIDE,HOMICIDE,NO,0-19,M,BLK,1,0,1
HL543691,2005-08-11 23:50:00,2005,8,5,23,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL656289,2005-10-06 02:34:00,2005,10,5,2,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL662200,2005-10-09 01:40:00,2005,10,1,1,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL669557,2005-10-12 22:11:00,2005,10,4,22,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,30-39,M,WWH,1,0,1
HL777755,2005-12-08 05:43:00,2005,12,5,5,CHICAGO LAWN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL431611,2005-06-20 00:06:00,2005,6,2,0,CLEARING,HOMICIDE,HOMICIDE,NO,30-39,F,WWH,1,0,1
HL766409,2005-12-01 19:25:00,2005,12,5,19,CLEARING,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL119705,2005-01-12 01:40:00,2005,1,4,1,DOUGLAS,HOMICIDE,HOMICIDE,NO,40-49,M,BLK,1,0,1
HL291491,2005-04-12 23:32:00,2005,4,3,23,DOUGLAS,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL370043,2005-05-21 13:55:00,2005,5,7,13,DOUGLAS,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL407548,2005-06-08 17:18:00,2005,6,4,17,DOUGLAS,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL410205,2005-06-09 22:04:00,2005,6,5,22,DOUGLAS,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL526827,2005-08-03 23:27:00,2005,8,4,23,DOUGLAS,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL573960,2005-08-26 23:30:00,2005,8,6,23,DOUGLAS,HOMICIDE,HOMICIDE,YES,20-29,F,BLK,1,0,1
HL703794,2005-10-29 23:55:00,2005,10,7,23,DOUGLAS,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL645804,2005-09-30 22:55:00,2005,9,6,22,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL739526,2005-11-16 20:00:00,2005,11,4,20,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL755450,2005-11-25 20:04:00,2005,11,6,20,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL758755,2005-11-27 21:47:00,2005,11,1,21,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL795612,2005-12-17 22:58:00,2005,12,7,22,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,NO,0-19,M,BLK,1,0,1
HL809577,2005-12-26 05:23:00,2005,12,2,5,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL815217,2005-12-29 11:27:00,2005,12,5,11,EAST GARFIELD PARK,HOMICIDE,HOMICIDE,YES,20-29,F,BLK,1,0,1
HL141721,2005-01-24 16:35:00,2005,1,2,16,EDGEWATER,HOMICIDE,HOMICIDE,NO,20-29,F,WHI,1,0,1
HL207408,2005-02-28 18:30:00,2005,2,2,18,EDGEWATER,HOMICIDE,HOMICIDE,YES,80+,F,WHI,1,0,1
HL207408,2005-02-28 18:30:00,2005,2,2,18,EDGEWATER,HOMICIDE,HOMICIDE,YES,60-69,M,WHI,1,0,1
HL242188,2005-03-18 16:30:00,2005,3,6,16,EDGEWATER,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL513570,2005-07-28 17:07:00,2005,7,5,17,EDGEWATER,HOMICIDE,HOMICIDE,NO,40-49,M,BLK,1,0,1
HL604318,2005-09-10 23:36:00,2005,9,7,23,EDGEWATER,HOMICIDE,HOMICIDE,NO,60-69,M,WHI,1,0,1
HL648026,2005-10-02 02:36:00,2005,10,1,2,EDGEWATER,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL122434,2005-01-13 12:55:00,2005,1,5,12,ENGLEWOOD,HOMICIDE,HOMICIDE,NO,20-29,F,BLK,1,0,1
HL227322,2005-03-10 22:19:00,2005,3,5,22,ENGLEWOOD,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HL255594,2005-03-25 23:48:00,2005,3,6,23,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL257510,2005-03-27 00:04:00,2005,3,1,0,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL320099,2005-04-26 22:40:00,2005,4,3,22,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL385610,2005-05-29 03:02:00,2005,5,1,3,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL393632,2005-06-02 04:25:00,2005,6,5,4,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL419306,2005-06-14 01:45:00,2005,6,3,1,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,50-59,M,BLK,1,0,1
HL428005,2005-06-17 22:00:00,2005,6,6,22,ENGLEWOOD,HOMICIDE,HOMICIDE,NO,50-59,M,BLK,1,0,1
HL567137,2005-08-23 17:20:00,2005,8,3,17,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL570008,2005-08-25 01:22:00,2005,8,5,1,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL618925,2005-09-17 22:00:00,2005,9,7,22,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,50-59,M,WHI,1,0,1
HL673823,2005-10-14 23:50:00,2005,10,6,23,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,70-79,M,BLK,1,0,1
HL674332,2005-10-15 11:02:00,2005,10,7,11,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,50-59,M,WHI,1,0,1
HL779301,2005-12-09 02:10:00,2005,12,6,2,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL785857,2005-12-12 19:35:00,2005,12,2,19,ENGLEWOOD,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL448493,2005-06-28 00:06:00,2005,6,3,0,FOREST GLEN,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL509628,2005-07-26 04:15:00,2005,7,3,4,FULLER PARK,HOMICIDE,HOMICIDE,NO,50-59,F,BLK,1,0,1
HL237125,2005-03-16 03:20:00,2005,3,4,3,GAGE PARK,HOMICIDE,HOMICIDE,NO,30-39,M,WWH,1,0,1
HL274838,2005-04-04 23:55:00,2005,4,2,23,GAGE PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL283611,2005-04-09 01:16:00,2005,4,7,1,GAGE PARK,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL385330,2005-05-28 23:00:00,2005,5,7,23,GAGE PARK,HOMICIDE,HOMICIDE,YES,50-59,M,WWH,1,0,1
HL484055,2005-07-14 18:31:00,2005,7,5,18,GAGE PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL486965,2005-07-16 00:48:00,2005,7,7,0,GAGE PARK,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL511948,2005-07-27 20:25:00,2005,7,4,20,GAGE PARK,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL520157,2005-07-31 21:15:00,2005,7,1,21,GAGE PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL624701,2005-09-20 18:30:00,2005,9,3,18,GAGE PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL669428,2005-10-12 20:22:00,2005,10,4,20,GAGE PARK,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL326559,2005-04-30 02:48:00,2005,4,7,2,GARFIELD RIDGE,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL355032,2005-05-13 22:50:00,2005,5,6,22,GARFIELD RIDGE,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL389943,2005-05-31 13:29:00,2005,5,3,13,GARFIELD RIDGE,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL534030,2005-08-07 14:23:00,2005,8,1,14,GARFIELD RIDGE,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL194705,2005-02-22 04:00:00,2005,2,3,4,GRAND BOULEVARD,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL326591,2005-04-30 03:20:00,2005,4,7,3,GRAND BOULEVARD,HOMICIDE,HOMICIDE,YES,0-19,F,BLK,1,0,1
HL355682,2005-05-14 09:42:00,2005,5,7,9,GRAND BOULEVARD,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL577964,2005-08-29 02:58:00,2005,8,2,2,GRAND BOULEVARD,HOMICIDE,HOMICIDE,YES,50-59,M,BLK,1,0,1
HL808787,2005-12-25 09:55:00,2005,12,1,9,GRAND BOULEVARD,HOMICIDE,HOMICIDE,NO,30-39,F,BLK,1,0,1
HL101040,2005-01-01 13:15:00,2005,1,7,13,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,NO,30-39,F,BLK,1,0,1
HL211745,2005-03-02 20:26:00,2005,3,4,20,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,70-79,M,BLK,1,0,1
HL237605,2005-03-16 11:58:00,2005,3,4,11,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL260858,2005-03-28 21:30:00,2005,3,2,21,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL281446,2005-04-08 01:05:00,2005,4,6,1,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,NO,50-59,M,BLK,1,0,1
HL286056,2005-04-10 09:30:00,2005,4,1,9,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL361444,2005-05-16 23:00:00,2005,5,2,23,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,NO,30-39,F,BLK,1,0,1
HL461073,2005-07-04 00:50:00,2005,7,2,0,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL475827,2005-07-11 02:01:00,2005,7,2,2,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL475827,2005-07-11 02:01:00,2005,7,2,2,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL475827,2005-07-11 02:01:00,2005,7,2,2,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL478108,2005-07-12 03:35:00,2005,7,3,3,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,NO,20-29,F,BLK,1,0,1
HL503825,2005-07-23 22:40:00,2005,7,7,22,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL505976,2005-07-25 03:35:00,2005,7,2,3,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL580098,2005-08-30 00:09:00,2005,8,3,0,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL651996,2005-10-04 02:20:00,2005,10,3,2,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL660737,2005-10-08 11:07:00,2005,10,7,11,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,NO,20-29,F,BLK,1,0,1
HL668918,2005-10-12 15:49:00,2005,10,4,15,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL781909,2005-12-10 14:56:00,2005,12,7,14,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL793991,2005-12-17 01:01:00,2005,12,7,1,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,YES,30-39,F,BLK,1,0,1
HL808284,2005-12-24 21:20:00,2005,12,7,21,GREATER GRAND CROSSING,HOMICIDE,HOMICIDE,NO,70-79,M,WHI,1,0,1
HL194151,2005-02-21 16:43:00,2005,2,2,16,HEGEWISCH,HOMICIDE,HOMICIDE,NO,0-19,M,BLK,1,0,1
HL459447,2005-07-03 03:09:00,2005,7,1,3,HERMOSA,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL555782,2005-08-18 00:05:00,2005,8,5,0,HERMOSA,HOMICIDE,HOMICIDE,YES,40-49,M,WWH,1,0,1
HL748925,2005-11-21 22:22:00,2005,11,2,22,HERMOSA,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL269483,2005-04-02 01:43:00,2005,4,7,1,HUMBOLDT PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL297826,2005-04-15 23:05:00,2005,4,6,23,HUMBOLDT PARK,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
